"Address","Coordinates"
"4147 St. Jakobstrasse, Aesch Basel-Landschaft","7.598037899999945,47.47667310000068"
"4147 Obereggweg, Aesch Basel-Landschaft","7.598091599999946,47.47680880000067"
"4147 Obereggweg, Aesch Basel-Landschaft","7.598569099999945,47.476814000000665"
"4147 St. Jakobstrasse, Aesch Basel-Landschaft","7.598005199999944,47.477086400000665"
"4147 St. Jakobstrasse, Aesch Basel-Landschaft","7.597860099999944,47.477374600000665"
"4147 St. Jakobstrasse, Aesch Basel-Landschaft","7.59762449999994,47.477756900000664"
"4147 St. Jakobstrasse, Aesch Basel-Landschaft","7.59758369999994,47.47789650000066"
"4147 St. Jakobstrasse, Aesch Basel-Landschaft","7.59753569999994,47.47803930000066"
"4147 St. Jakobstrasse, Aesch Basel-Landschaft","7.5974387999999395,47.478341800000656"
"4147 St. Jakobstrasse, Aesch Basel-Landschaft","7.59739459999994,47.478488100000654"
"4147 St. Jakobstrasse, Aesch Basel-Landschaft","7.59733939999994,47.47862700000066"
"4147 St. Jakobstrasse, Aesch Basel-Landschaft","7.5980085000000335,47.47555270000044"
"4147 St. Jakobstrasse, Aesch Basel-Landschaft","7.597998500000034,47.47559890000044"
"4147 St. Jakobstrasse, Aesch Basel-Landschaft","7.5979857000000335,47.475649600000445"
"4147 St. Jakobstrasse, Aesch Basel-Landschaft","7.5979743000000335,47.475699500000445"
"4147 St. Jakobstrasse, Aesch Basel-Landschaft","7.597934800000033,47.475845900000444"
"4147 St. Jakobstrasse, Aesch Basel-Landschaft","7.597924000000033,47.47589080000044"
"4147 St. Jakobstrasse, Aesch Basel-Landschaft","7.597912600000033,47.47593380000044"
"4147 Bahnhofstrasse, Aesch Basel-Landschaft","7.600287300000009,47.46756009999983"
"4147 Grenzweg, Aesch Basel-Landschaft","7.593424399999998,47.46169960000045"
"4147 Grenzweg, Aesch Basel-Landschaft","7.593456899999998,47.46156870000045"
"4147 Grenzweg, Aesch Basel-Landschaft","7.5933224999999975,47.46171960000045"
"4147 Grenzweg, Aesch Basel-Landschaft","7.5931425999999975,47.46163760000045"
"4147 Grenzweg, Aesch Basel-Landschaft","7.593032799999998,47.46178360000045"
"4147 Grenzweg, Aesch Basel-Landschaft","7.593098599999998,47.46164730000045"
"4147 Grenzweg, Aesch Basel-Landschaft","7.592894099999998,47.46181340000045"
"4147 Grenzweg, Aesch Basel-Landschaft","7.592550299999998,47.46174990000045"
"4147 Grenzweg, Aesch Basel-Landschaft","7.5925129999999985,47.46175950000045"
"3703 Allmigaessli, Aesch Basel-Landschaft","7.727545400000021,46.64479910000005"
"3703 Allmigaessli, Aesch Basel-Landschaft","7.728298600000021,46.644612600000045"
"3703 Allmigaessli, Aesch Basel-Landschaft","7.7277059000000206,46.644609000000045"
"3703 Scheidmattenstrasse, Aesch Basel-Landschaft","7.72699670000002,46.64376050000005"
"3703 Scheidmattenstrasse, Aesch Basel-Landschaft","7.72576580000002,46.64233660000005"
"3703 Scheidmattenstrasse, Aesch Basel-Landschaft","7.729211900000016,46.6419087000001"
"3703 Scheidmattenstrasse, Aesch Basel-Landschaft","7.729106600000017,46.64220290000011"
"3703 Scheidmattenstrasse, Aesch Basel-Landschaft","7.729723300000017,46.64178030000011"
"3703 Scheidmattenstrasse, Aesch Basel-Landschaft","7.734997100000045,46.63721790000022"
"3703 Scheidmattenstrasse, Aesch Basel-Landschaft","7.7274348000000055,46.64391139999996"
"3703 Scheidmattenstrasse, Aesch Basel-Landschaft","7.729997400000006,46.64095589999996"
"3703 Scheidmattenstrasse, Aesch Basel-Landschaft","7.727322100000006,46.64390929999996"
"3703 Scheidmattenstrasse, Aesch Basel-Landschaft","7.7274576000000055,46.64397959999996"
"3703 Scheidmattenstrasse, Aesch Basel-Landschaft","7.72567090000002,46.644483700000045"
"3703 Allmigaessli, Aesch Basel-Landschaft","7.72623430000002,46.64507980000005"
"4147 Industriestrasse, Aesch Basel-Landschaft","7.602701199999974,47.47052170000016"
"3703 Allmigaessli, Aesch Basel-Landschaft","7.72667060000002,46.64496560000005"
"3703 Allmigaessli, Aesch Basel-Landschaft","7.72696150000002,46.64491510000005"
"3703 Allmigaessli, Aesch Basel-Landschaft","7.72700430000002,46.644927700000046"
"3703 Scheidmattenstrasse, Aesch Basel-Landschaft","7.725998200000021,46.644014300000045"
"3703 Allmigaessli, Aesch Basel-Landschaft","7.727483300000021,46.644862500000045"
"3703 Allmigaessli, Aesch Basel-Landschaft","7.727239100000021,46.644928200000045"
"3703 Scheidmattenstrasse, Aesch Basel-Landschaft","7.726243300000021,46.644063700000046"
"4147 Hauptstrasse, Aesch Basel-Landschaft","7.59715590000003,47.4691561000001"
"8910 Obstgartenstrasse, Affoltern am Albis ","8.444218199999995,47.27468320000041"
"8910 Wiesenstrasse, Affoltern am Albis ","8.452667099999992,47.280123600000515"
"1860 Rue de la Chapelle, Aigle ","6.968619000000073,46.313916300000116"
"1860 Rue de la Chapelle, Aigle ","6.968895400000073,46.313695400000114"
"1860 Rue de la Chapelle, Aigle ","6.968982600000073,46.31335950000011"
"1860 Rue de la Chapelle, Aigle ","6.969194800000073,46.31328590000011"
"1860 Rue de la Chapelle, Aigle ","6.966903900000073,46.315369900000114"
"1860 Route d'Ollon, Aigle ","6.966506100000073,46.31414080000011"
"1860 Avenue du Clo��tre, Aigle ","6.972348800000073,46.31691500000011"
"1860 Route Industrielle, Aigle ","6.939496999999963,46.31525780000048"
"1860 Route Industrielle, Aigle ","6.940916200000007,46.31426340000076"
"1860 ""Chemin de Champex, Aigle ","6.944687200000019,46.31090350000017"
"1860 Rue de la Chapelle, Aigle ","6.966770500000074,46.31548480000012"
"1860 Avenue du Clo��tre, Aigle ","6.972537000000074,46.31680600000012"
"1860 Rue de la Chapelle, Aigle ","6.968445000000074,46.31410880000012"
"1860 Avenue de la Gare, Aigle ","6.968741000000001,46.31815050000005"
"1860 Place Alphonse Mex, Aigle ","6.968235600000002,46.31970760000005"
"1860 Avenue de la Gare, Aigle ","6.967100500000002,46.31775540000005"
"1860 Rue du Bourg, Aigle ","6.968480300000001,46.31877370000005"
"1860 Avenue de la Gare, Aigle ","6.966969400000001,46.31777970000005"
"1860 Avenue de la Gare, Aigle ","6.966925100000001,46.31771090000005"
"1860 Rue du Bourg, Aigle ","6.968455200000001,46.31882110000005"
"1860 Avenue de la Gare, Aigle ","6.966892400000001,46.31775760000005"
"1860 Rue du Bourg, Aigle ","6.968540400000001,46.31878920000005"
"1860 Avenue de la Gare, Aigle ","6.966563700000001,46.31761150000005"
"1860 Rue du Bourg, Aigle ","6.968415800000001,46.318895500000046"
"1860 Rue du Bourg, Aigle ","6.9684854000000005,46.31888110000005"
"1860 Rue du Bourg, Aigle ","6.9684039,46.318917900000045"
"1860 Avenue de la Gare, Aigle ","6.9687411,46.318209000000046"
"1860 Rue du Bourg, Aigle ","6.9684358,46.31896390000004"
"1860 Rue du Bourg, Aigle ","6.9683816,46.31896000000004"
"1860 Avenue de la Gare, Aigle ","6.9684139,46.31811260000004"
"1860 Place Alphonse Mex, Aigle ","6.9682338999999995,46.31972510000004"
"1860 Rue du Bourg, Aigle ","6.9682425,46.31963640000004"
"1860 Avenue de la Gare, Aigle ","6.9677904999999996,46.31794460000004"
"1860 Place Alphonse Mex, Aigle ","6.9682159,46.31990900000004"
"1860 Rue du Bourg, Aigle ","6.968651599999999,46.31860350000004"
"1860 Place Alphonse Mex, Aigle ","6.9679505,46.319987800000035"
"1860 Rue du Bourg, Aigle ","6.9685885,46.31856940000004"
